"age","party_reg_state","party_primary_state","sex","combined_ethnicity_4way","children_3plus","homeowner","renter","education","hasreligion","catholic","christian","bible_reader","interest_in_religion","donrever_1","liberal_donor","conservative_donor","contbrel_1","contbpol_1","contbhlt_1","blue_collar","farmer","professional_technical","retired","apparel_1","bookmusc_1","electrnc_1","boatownr_1","cat_1","environm_1","outdgrdn_1","outdoor_1","guns_1","golf_1","investor_1","veteran_1","expensive_items_1","cnty_pct_religious","cnty_pct_evangelical","density_clean","marital_status_clean","log_ppi","log_income","log_nchildren","log_pct_evangelical","age.na","support_dem"
44,1,0,"M","W",1,1,0,"post graduate",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0.82371,0.02587,"urban","married",4.62497281328427,11.4532497677824,1.61143591509677,-3.6546712827842,0,0
62,1,0,"F","W",0,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0.57383,0.05378888889,"suburban","married",4.68213122712422,11.5977995595982,-4.60517018598809,-2.92268835935205,0,1
74,1,0,"F","W",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0.5221788889,0.28372,"suburban","single",3.93182563272433,11.4370050821613,-4.60517018598809,-1.25976744264825,0,1
34,1,1,"M","W",0,1,0,"post graduate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0.5310388889,0.08296888889,"suburban","married",6.90775527898214,11.8530410565062,-4.60517018598809,-2.48928957410346,0,1
71,1,1,"F","W",0,1,0,"high school",0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0.5352588889,0.4076888889,"suburban","married",2.63905732961526,10.2924166920042,0.698134722070984,-0.897250922655602,0,0
54.7736917906865,1,0,"M","B",0,0,0,"high school",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55232,0.12515,"urban","single",3.91202300542815,10.3368920293335,-4.60517018598809,-2.07824226110435,1,0
18,1,0,"M","W",0,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5105188889,0.20952,"suburban","married",4.12713438504509,11.2403815633609,-4.60517018598809,-1.56293607878268,0,1
26,1,1,"F","H",0,1,0,"some college",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0.5310388889,0.08296888889,"urban","married",3.85014760171006,10.195821289203,-4.60517018598809,-2.48928957410346,0,1
55,0,1,"F","W",0,1,0,"high school",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0.47022,0.1358188889,"suburban","married",4.20469261939097,10.8930287461499,0.00995033085316809,-1.99643298001027,0,1
62,1,0,"F","W",0,1,0,"some college",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0.6542788889,0.03257888889,"urban","married",4.88280192258637,11.3957397508818,-4.60517018598809,-3.42409078044136,0,1
57,1,0,"M","W",0,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0.4211388889,0.02401,"suburban","married",4.43081679884331,11.4058857624892,0.00995033085316809,-3.72928486874898,0,0
28,1,1,"F","W",1,1,0,"no hs degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48772,0.07498888889,"urban","single",4.969813299576,10.9780461911005,1.61143591509677,-2.59041532455418,0,1
60,1,0,"F","W",0,0,1,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3486388889,0.15856,"suburban","single",3.68887945411394,10.0299880361455,-4.60517018598809,-1.84162220840046,0,1
39,0,1,"F","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.37643,0.15271,"suburban","married",4.68213122712422,11.4351260725158,0.698134722070984,-1.87921458101705,0,0
57,1,1,"M","W",0,1,0,"post graduate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0.6043788889,0.04193888889,"suburban","married",3.04452243772342,11.2929768045525,-4.60517018598809,-3.17154174670623,0,1
51,1,1,"M","W",0,1,0,"post graduate",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0.4198888889,0.2446288889,"rural","married",4.47733681447821,11.2216502783416,-4.60517018598809,-1.40801295599829,0,0
23,1,1,"M","H",0,0,1,"high school",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.47873,0.1020988889,"suburban","single",2.70805020110221,10.4446483760982,-4.60517018598809,-2.2818134363389,0,1
